from,to,duration
87144097,87144071,6
87144097,87144089,3
87144121,87144006,19
87144121,87144147,8
87144147,87144121,9
87144147,87185629,11
87144154,87144006,34
87144154,87144014,40
87144212,87141291,40
87144212,87144006,40
87144212,87144055,30
87144212,87144279,25
87144220,87144212,10
87144279,87144212,25
87144279,87144287,5
87144287,87141002,75
87144287,87141291,38
87144287,87142125,44
87144287,87144279,7
87144345,87144014,11
87144345,87214783,11
87144410,87144006,10
87144410,87144030,10
87144410,87144428,4
87144428,87144410,4
87144428,87144436,4
87144436,87144428,4
87144436,87146217,5
87144451,87144006,35
87144451,87146217,3
87144626,87141416,7
87144626,87141424,4
87144626,87141432,3
87144626,87144642,4
87144642,87144014,9
87144642,87144626,5
87144642,87144683,5
87144683,87144014,7
87144683,87144642,4
87146217,87144436,5
87146217,87144451,5
87159947,87471003,8
87159947,87471037,3
87159947,87471052,3
87159947,87471144,7
87159947,87471151,20
87171009,87171298,8
87171009,87171462,9
87171009,87171629,11
87171009,87171710,6
87171009,87171728,8
87171009,87172007,80
87171009,87174409,17
87171009,87417444,2
87171272,87171595,6
87171272,87171926,6
87171272,87417444,2
87171298,87171009,10
87171298,87171314,5
87171314,87171298,5
87171314,87171322,5
87171322,87171314,5
87171322,87400986,3
87171330,87400986,4
87171462,87171009,11
87171462,87172270,12
87171512,87116582,12
87171512,87171553,13
87171553,87171512,12
87171553,87171561,4
87171553,87174003,14
87171561,87171553,6
87171561,87171579,5
87171579,87171561,4
87171579,87171587,7
87171579,87171595,10
87171587,87171579,6
87171587,87171595,4
87171595,87171272,6
87171595,87171579,10
87171595,87171587,5
87171611,87171629,4
87171611,87171645,4
87171629,87171009,14
87171629,87171611,4
87171645,87171611,5
87171645,87174409,5
87171702,87171728,6
87171702,87171736,4
87171710,87171009,7
87171710,87171728,3
87171728,87171009,9
87171728,87171702,5
87171728,87171710,3
87171728,87171736,7
87171736,87171702,4
87171736,87171728,7
87171736,87171744,5
87171736,87171751,10
87171744,87171736,5
87171744,87171751,5
87171751,87171736,9
87171751,87171744,5
87171751,87171769,6
87171751,87296012,12
87171769,87171751,5
87171769,87296012,9
87171926,87171009,8
87171926,87171272,4
87172007,87172023,9
87172007,87172049,25
87172007,87172155,3
87172007,87172171,10
87172007,87172189,22
87172007,87172213,9
87172007,87172254,13
87172007,87172270,25
87172007,87172544,19
87172007,87295063,60
87172023,87172007,9
87172023,87172031,4
87172023,87172049,7
87172031,87172023,4
87172031,87172049,4
87172049,87172007,25
87172049,87172023,7
87172049,87172031,4
87172049,87172056,2
87172056,87172049,2
87172056,87172064,3
87172064,87172056,3
87172064,87172072,4
87172064,87172080,9
87172072,87172064,4
87172072,87172858,4
87172080,87172064,10
87172080,87172098,7
87172080,87172858,4
87172098,87172080,6
87172098,87172106,3
87172106,87172098,3
87172106,87172114,8
87172106,87172874,3
87172114,87172106,8
87172114,87172122,4
87172114,87172130,10
87172114,87172874,6
87172122,87172114,4
87172122,87172130,7
87172130,87172114,11
87172130,87172122,7
87172155,87172007,4
87172155,87172189,4
87172171,87172007,11
87172171,87172262,13
87172189,87172155,4
87172189,87172213,4
87172213,87172007,9
87172213,87172189,4
87172213,87172221,4
87172213,87172239,6
87172221,87172213,4
87172221,87172239,3
87172239,87172213,5
87172239,87172221,2
87172239,87172254,5
87172254,87172007,15
87172254,87172213,19
87172254,87172239,3
87172254,87172353,14
87172262,87172171,13
87172262,87172270,5
87172270,87171462,12
87172270,87172007,27
87172270,87172262,5
87172353,87172254,14
87172353,87194209,16
87172544,87172007,22
87172544,87295063,19
87172858,87172072,4
87172858,87172080,4
87172874,87172106,3
87172874,87172114,6
87174003,87113001,91
87174003,87142000,76
87174003,87171553,14
87174003,87174276,15
87174003,87174409,15
87174003,87175000,39
87174276,87174003,16
87174276,87175000,19
87174276,87175018,16
87174276,87175042,23
87174409,87171009,17
87174409,87171645,5
87174409,87174003,16
87175000,87142000,43
87175000,87174003,33
87175000,87174276,18
87175000,87175042,35
87175000,87175091,17
87175000,87175117,11
87175018,87174276,16
87175018,87175042,9
87175042,87174276,22
87175042,87175000,35
87175042,87175018,10
87175042,87175067,6
87175042,87175240,18
87175042,87175257,19
87175067,87175042,8
87175067,87175240,12
87175091,87142240,13
87175091,87142273,7
87175091,87175000,18
87175091,87175117,7
87175117,87175000,12
87175117,87175091,8
87175240,87175042,17
87175240,87175067,12
87175240,87175257,4
87175240,87192435,22
87175257,87141002,55
87175257,87141044,14
87175257,87175042,19
87175257,87175240,4
87175257,87175828,8
87175778,87175794,19
87175794,87175778,22
87175794,87192666,17
87175828,87141036,4
87175828,87175257,8
87181016,87182113,4
87181016,87182139,3
87181040,87182063,5
87181040,87182196,1
87181065,87182204,3
87181065,87182238,3
87181131,87182055,8
87181131,87182410,4
87181131,87182667,4
87181131,87534347,4
87181222,87182014,2
87181222,87182345,3
87181222,87402297,2
87181289,87182410,3
87181289,87182550,2
87181552,87182352,2
87181552,87182360,4
87181552,87182378,5
87182014,87181222,2
87182014,87182063,20
87182014,87182329,5
87182014,87182337,7
87182014,87182352,7
87182014,87182709,12
87182014,87214056,11
87182014,87214122,18
87182055,87182063,4
87182055,87182667,3
87182055,87182691,7
87182055,87182709,8
87182063,87181040,5
87182063,87182014,18
87182063,87182055,3
87182063,87182071,4
87182063,87182139,13
87182063,87182196,5
87182063,87182204,6
87182063,87182238,9
87182063,87182709,9
87182063,87182840,13
87182063,87184002,25
87182071,87182063,5
87182071,87182089,2
87182089,87182071,2
87182089,87182105,6
87182105,87182089,5
87182105,87182113,3
87182113,87181016,3
87182113,87182105,3
87182139,87181016,3
87182139,87182063,13
87182196,87181040,1
87182196,87182063,5
87182196,87182204,3
87182204,87181065,3
87182204,87182063,7
87182204,87182196,3
87182204,87182238,5
87182238,87181065,3
87182238,87182063,10
87182238,87182204,5
87182238,87182253,6
87182238,87184002,17
87182253,87182238,6
87182253,87184275,5
87182329,87182014,5
87182329,87182337,4
87182337,87182014,7
87182337,87182329,4
87182337,87182709,7
87182337,87182725,4
87182345,87181222,2
87182345,87182352,4
87182345,87303875,2
87182345,87402297,2
87182352,87181552,4
87182352,87182345,5
87182352,87182360,5
87182352,87182378,7
87182352,87182394,12
87182352,87303875,4
87182360,87181552,3
87182360,87182352,4
87182360,87182378,3
87182378,87181552,5
87182378,87182352,5
87182378,87182360,2
87182378,87182386,3
87182378,87182394,6
87182386,87182378,3
87182386,87386540,2
87182394,87182378,5
87182394,87182543,3
87182394,87386540,2
87182402,87182600,2
87182402,87182618,2
87182410,87181131,4
87182410,87181289,3
87182410,87182055,10
87182410,87182550,4
87182410,87182667,8
87182543,87182394,2
87182543,87182659,2
87182550,87181289,1
87182550,87182410,4
87182550,87182568,2
87182568,87182550,1
87182568,87182881,3
87182568,87472605,1
87182576,87182584,2
87182576,87182881,3
87182584,87182576,2
87182584,87182592,3
87182584,87182642,16
87182592,87182584,3
87182592,87182600,3
87182600,87182402,2
87182600,87182584,5
87182600,87182592,3
87182600,87182618,3
87182618,87182402,2
87182618,87182600,4
87182618,87182626,2
87182618,87182642,6
87182618,87182881,13
87182626,87182618,2
87182626,87182634,3
87182634,87182626,3
87182634,87182642,3
87182642,87182618,5
87182642,87182634,2
87182659,87182543,2
87182659,87182733,2
87182667,87181131,4
87182667,87182055,3
87182667,87182063,7
87182667,87182410,12
87182691,87182055,6
87182691,87182709,3
87182709,87182055,8
87182709,87182063,11
87182709,87182337,7
87182709,87182691,3
87182709,87182717,3
87182717,87182709,3
87182717,87182725,3
87182725,87182337,4
87182725,87182717,3
87182733,87182659,2
87182733,87182816,4
87182816,87182733,2
87182840,87182063,12
87182881,87182568,4
87182881,87182576,3
87182881,87182584,4
87182881,87182592,7
87182881,87472605,1
87184002,87182063,27
87184002,87182238,18
87184002,87184242,3
87184002,87184267,7
87184002,87184275,7
87184002,87184507,6
87184002,87185249,17
87184002,87700146,3
87184200,87184242,5
87184200,87185348,6
87184242,87184002,4
87184242,87184200,5
87184267,87184002,8
87184267,87184275,3
87184275,87182253,5
87184275,87184002,9
87184275,87184267,3
87184408,87184424,5
87184408,87700146,4
87184424,87184408,6
87184424,87184432,4
87184432,87184424,4
87184432,87700153,3
87184440,87700153,2
87184507,87184002,9
87184507,87184523,6
87184523,87184507,5
87184523,87184531,5
87184523,87184572,14
87184531,87184523,5
87184531,87184556,6
87184556,87184531,6
87184556,87184572,7
87184572,87184523,14
87184572,87184556,7
87184572,87184622,8
87184622,87184572,7
87184622,87718460,11
87185009,87142125,37
87185009,87185249,15
87185249,87184002,18
87185249,87185009,17
87185249,87185314,7
87185249,87185595,13
87185314,87185249,7
87185314,87185348,5
87185348,87184002,27
87185348,87184200,7
87185348,87185314,5
87185595,87185249,13
87185595,87185629,11
87185629,87144147,12
87185629,87185595,10
87191007,87191114,7
87191007,87191130,4
87191007,87191163,5
87191007,87191239,6
87191007,87191601,7
87191007,87192039,20
87191098,87191106,2
87191098,87191114,3
87191098,87192039,12
87191106,87191098,2
87191106,87191114,3
87191106,87192088,5
87191114,87191007,9
87191114,87191098,4
87191114,87191106,4
87191114,87191130,5
87191114,87191734,5
87191114,87191742,3
87191114,87192039,11
87191130,87191007,5
87191130,87191114,5
87191163,87191007,6
87191239,87191007,9
87191239,87194357,12
87191601,87191007,6
87191601,87191619,4
87191619,87191601,5
87191619,87191627,6
87191627,87191619,4
87191627,87191635,8
87191635,87191627,6
87191635,87191643,5
87191643,87191635,4
87191684,87191692,3
87191684,87192732,3
87191692,87191684,3
87191692,87191700,2
87191692,87192666,11
87191692,87192724,7
87191700,87191692,3
87191700,87191718,5
87191718,87191700,4
87191718,87191734,5
87191734,87191114,6
87191734,87191718,5
87191734,87191742,4
87191742,87191114,4
87191742,87191734,4
87192039,87191007,25
87192039,87191098,10
87192039,87191114,10
87192039,87192070,4
87192039,87192088,9
87192039,87192203,6
87192039,87192237,12
87192039,87192286,23
87192039,87192401,6
87192039,87192435,12
87192039,87192468,11
87192039,87192666,40
87192039,87193359,21
87192039,87194001,55
87192070,87192039,5
87192070,87192088,2
87192088,87191106,5
87192088,87192039,15
87192088,87192070,2
87192203,87192039,6
87192203,87192211,5
87192211,87192203,5
87192211,87192229,3
87192229,87192211,3
87192229,87192237,4
87192229,87192286,15
87192237,87192039,13
87192237,87192229,4
87192237,87192286,13
87192237,87193359,10
87192237,87193383,5
87192286,87192039,24
87192286,87192237,12
87192286,87192302,5
87192286,87215012,24
87192286,87215079,21
87192302,87192286,5
87192302,87215335,11
87192401,87192039,7
87192401,87192419,3
87192401,87192427,4
87192419,87192401,2
87192419,87192427,3
87192427,87192401,5
87192427,87192419,3
87192427,87192468,4
87192435,87141820,12
87192435,87175240,22
87192435,87192039,14
87192435,87192666,17
87192468,87141820,6
87192468,87192039,13
87192468,87192427,5
87192468,87192435,13
87192468,87192476,4
87192476,87141820,4
87192476,87192468,3
87192658,87192666,13
87192658,87194274,17
87192666,87141002,74
87192666,87175794,16
87192666,87191692,10
87192666,87191734,20
87192666,87192039,40
87192666,87192435,16
87192666,87192658,12
87192666,87192724,4
87192666,87192732,6
87192724,87191692,7
87192724,87192666,6
87192724,87192732,4
87192732,87191684,3
87192732,87192666,8
87192732,87192724,3
87193003,87193250,5
87193250,87193003,6
87193250,87193276,3
87193250,87193318,7
87193250,87193516,5
87193250,87193524,7
87193276,87193250,4
87193276,87193318,4
87193318,87193250,7
87193318,87193276,5
87193318,87193342,5
87193318,87193359,7
87193342,87193318,4
87193342,87193359,4
87193359,87192039,23
87193359,87192237,10
87193359,87193318,7
87193359,87193342,4
87193359,87193383,7
87193383,87192237,5
87193383,87193359,7
87193516,87193250,5
87193516,87193524,5
87193524,87193250,9
87193524,87193516,5
87193524,87193540,5
87193524,87193615,12
87193540,87193524,6
87193540,87193615,7
87193615,87193524,9
87193615,87193540,6
87193615,87193664,15
87193615,87215632,19
87193664,87193615,14
87193664,87215632,4
87193714,87215491,5
87194001,87192039,55
87194001,87194274,12
87194209,87172353,16
87194209,87194274,14
87194274,87192658,16
87194274,87194001,13
87194274,87194209,13
87194274,87194357,17
87194357,87191239,12
87194357,87194274,18
87208553,87721530,2
87208553,87721548,3
87212027,87212100,5
87212027,87212118,6
87212027,87212126,9
87212027,87212134,10
87212027,87212142,13
87212027,87212191,4
87212027,87212225,21
87212027,87212241,5
87212027,87212258,6
87212027,87212266,7
87212027,87212308,4
87212027,87213611,14
87212027,87214056,18
87212027,87214148,10
87212027,87214502,5
87212027,87214528,7
87212027,87214536,20
87212027,87214551,11
87212027,87214577,12
87212027,87338517,5
87212027,87338525,4
87212100,87212027,7
87212100,87212118,3
87212100,87213686,7
87212118,87212027,8
87212118,87212100,3
87212118,87212126,5
87212118,87213611,10
87212118,87213686,5
87212126,87212027,10
87212126,87212118,5
87212126,87212134,2
87212134,87212027,11
87212134,87212126,2
87212134,87212142,4
87212134,87212167,6
87212134,87212225,14
87212142,87212027,15
87212142,87212134,4
87212142,87212159,3
87212142,87213165,10
87212159,87212142,3
87212159,87212167,2
87212167,87212134,7
87212167,87212159,2
87212167,87212175,4
87212167,87212183,5
87212167,87212225,10
87212175,87212167,4
87212175,87212183,3
87212183,87212167,5
87212183,87212175,3
87212183,87212209,3
87212183,87212225,5
87212191,87212027,5
87212191,87214502,2
87212209,87212183,3
87212209,87212225,4
87212225,87212027,24
87212225,87212134,13
87212225,87212183,6
87212225,87212209,4
87212225,87213785,30
87212225,87215012,15
87212225,87215079,14
87212225,87215160,7
87212225,87215459,40
87212241,87212027,7
87212241,87212258,2
87212258,87212027,7
87212258,87212241,2
87212258,87212266,3
87212266,87212027,9
87212266,87212258,3
87212266,87212274,3
87212266,87214148,5
87212274,87212266,3
87212274,87214148,3
87212308,87212027,5
87212308,87338517,2
87212316,87212324,3
87212316,87212332,5
87212316,87338517,5
87212324,87212316,3
87212324,87212332,3
87212332,87212316,5
87212332,87212324,3
87212332,87212340,4
87212340,87212332,4
87212340,87212357,5
87212340,87212407,11
87212340,87338517,11
87212357,87212340,4
87212357,87212365,4
87212357,87212407,8
87212365,87212357,4
87212365,87212373,3
87212373,87212365,3
87212373,87212407,2
87212407,87212340,11
87212407,87212357,7
87212407,87212373,2
87212407,87212415,4
87212407,87212431,7
87212415,87212407,3
87212415,87212431,5
87212431,87212407,7
87212431,87212415,5
87212431,87212449,5
87212431,87212464,9
87212449,87212431,4
87212449,87212456,3
87212456,87212449,2
87212456,87212464,5
87212464,87212431,9
87212464,87212456,5
87213058,87213108,3
87213058,87213405,7
87213058,87213421,13
87213058,87213603,4
87213058,87213611,6
87213108,87213058,5
87213108,87213207,6
87213165,87212142,10
87213165,87213785,5
87213207,87213108,6
87213207,87213223,4
87213223,87213207,4
87213223,87213249,3
87213249,87213223,5
87213249,87213256,4
87213256,87213249,4
87213405,87213058,6
87213405,87213413,3
87213413,87213405,3
87213413,87213421,5
87213421,87213058,12
87213421,87213413,4
87213421,87213447,4
87213421,87213470,13
87213447,87213421,4
87213447,87213454,4
87213447,87213462,6
87213454,87213447,4
87213454,87213462,4
87213462,87213447,6
87213462,87213454,3
87213462,87213470,6
87213470,87213421,12
87213470,87213462,5
87213603,87213058,5
87213603,87213611,3
87213611,87212027,16
87213611,87212118,10
87213611,87213058,6
87213611,87213603,3
87213611,87213660,4
87213660,87213611,4
87213660,87213678,3
87213678,87213660,3
87213678,87213686,2
87213686,87212118,5
87213686,87213678,2
87213744,87213785,7
87213744,87215699,8
87213785,87212225,25
87213785,87213165,5
87213785,87213744,7
87214056,87182014,10
87214056,87212027,22
87214056,87214106,5
87214056,87214122,9
87214056,87214205,4
87214056,87214213,7
87214056,87214247,15
87214106,87214056,5
87214106,87214114,3
87214114,87214106,3
87214114,87214122,4
87214122,87214056,8
87214122,87214114,4
87214122,87214130,3
87214122,87214148,5
87214130,87214122,3
87214130,87214148,3
87214148,87212027,12
87214148,87212266,5
87214148,87212274,4
87214148,87214056,12
87214148,87214122,4
87214148,87214130,3
87214205,87214056,4
87214205,87214213,4
87214213,87214056,8
87214213,87214205,4
87214213,87214221,5
87214221,87214213,5
87214221,87214239,3
87214221,87214247,5
87214239,87214221,3
87214239,87214247,3
87214247,87214221,5
87214247,87214239,3
87214247,87214254,2
87214247,87214288,6
87214254,87214247,2
87214254,87214270,3
87214270,87214247,5
87214270,87214254,3
87214270,87214288,4
87214288,87214247,7
87214288,87214270,4
87214288,87214296,4
87214288,87214320,6
87214296,87214288,3
87214296,87214320,3
87214320,87214296,2
87214320,87214338,3
87214320,87214577,4
87214338,87214320,3
87214338,87214577,2
87214502,87212027,6
87214502,87212191,2
87214502,87214528,4
87214528,87212027,8
87214528,87214502,4
87214528,87214536,3
87214528,87214577,7
87214536,87214528,3
87214536,87214544,2
87214544,87214536,2
87214544,87214551,3
87214551,87214544,3
87214551,87214577,3
87214577,87212027,15
87214577,87214288,15
87214577,87214320,5
87214577,87214338,3
87214577,87214528,6
87214577,87214551,3
87214577,87214585,4
87214585,87214577,3
87214585,87214593,3
87214593,87214585,3
87214593,87214627,3
87214593,87214635,6
87214627,87214593,3
87214627,87214635,3
87214635,87214593,6
87214635,87214627,4
87214635,87214643,2
87214635,87214650,4
87214643,87214635,2
87214643,87214650,2
87214650,87214635,3
87214650,87214643,2
87214650,87214676,3
87214676,87214650,3
87214676,87214684,2
87214684,87214676,2
87214684,87214692,3
87214692,87214684,3
87214692,87214726,3
87214726,87214692,2
87214726,87214734,5
87214726,87214742,8
87214734,87214726,5
87214734,87214742,3
87214742,87214726,7
87214742,87214734,3
87214742,87214775,6
87214742,87214783,9
87214775,87214742,6
87214775,87214783,4
87214783,87144014,20
87214783,87144345,11
87214783,87214742,8
87214783,87214775,3
87215012,87141002,87
87215012,87141150,22
87215012,87192286,23
87215012,87212225,16
87215012,87215079,3
87215012,87215103,13
87215012,87215160,10
87215012,87215335,9
87215079,87192286,21
87215079,87212225,14
87215079,87215012,4
87215079,87215160,8
87215103,87141150,12
87215103,87215012,12
87215160,87212225,7
87215160,87215012,11
87215160,87215079,8
87215335,87192302,11
87215335,87215012,10
87215459,87212225,42
87215459,87215483,6
87215459,87215491,10
87215483,87215459,8
87215483,87215491,5
87215491,87193714,10
87215491,87215459,11
87215491,87215483,8
87215632,87193615,19
87215632,87193664,4
87215632,87215665,7
87215665,87215632,7
87215665,87215699,6
87215699,87213744,7
87215699,87215665,6
87223263,87281006,31
87223263,87281071,27
87223263,87342014,31
87271007,87271536,21
87271007,87271585,54
87271007,87271593,34
87271007,87276006,15
87271007,87276279,17
87271007,87276469,27
87271007,87276691,38
87271007,87276725,32
87271007,87313049,60
87271536,87271007,23
87271536,87271551,7
87271536,87271593,13
87271551,87271577,6
87271577,87271593,7
87271585,87271585,3
87271585,87271593,10
87271593,87271007,36
87271593,87271536,15
87271593,87271601,6
87271593,87271734,9
87271593,87313437,35
87271601,87271593,9
87271601,87271734,7
87271734,87271593,13
87271734,87271601,7
87271734,87271775,8
87271734,87271783,10
87271734,87271817,16
87271734,87272286,7
87271775,87271734,8
87271775,87271783,4
87271775,87271817,10
87271775,87272286,4
87271783,87271734,10
87271783,87271775,4
87271783,87271817,9
87271817,87271734,15
87271817,87271775,9
87271817,87271783,7
87271817,87271874,4
87271817,87296566,15
87271874,87271817,4
87271874,87271882,5
87271874,87297283,11
87271882,87271874,5
87271882,87297283,8
87272013,87276691,6
87272013,87276733,4
87272096,87276717,4
87272096,87313668,5
87272195,87276691,7
87272195,87276741,2
87272286,87271734,8
87272286,87271775,4
87276006,87271007,25
87276006,87271593,46
87276006,87276113,6
87276006,87276204,4
87276006,87276329,8
87276006,87276352,4
87276006,87276378,4
87276006,87276469,23
87276006,87276618,3
87276006,87313049,35
87276006,87313304,9
87276006,87313874,95
87276113,87276006,6
87276113,87276279,5
87276204,87276006,4
87276204,87276212,4
87276212,87276204,4
87276212,87313304,6
87276279,87271007,19
87276279,87276113,4
87276303,87276311,3
87276303,87276691,10
87276303,87276733,4
87276311,87276303,3
87276311,87276329,6
87276311,87276733,6
87276329,87276006,9
87276329,87276303,7
87276329,87276311,5
87276329,87276352,5
87276329,87276691,13
87276352,87276006,5
87276352,87276329,5
87276352,87276378,4
87276378,87276006,3
87276378,87276352,3
87276469,87271007,30
87276469,87276006,18
87276469,87276725,5
87276618,87276006,5
87276618,87313544,3
87276618,87313551,6
87276691,87271007,41
87276691,87272013,4
87276691,87272195,5
87276691,87276329,12
87276691,87276733,6
87276691,87276782,13
87276691,87296004,32
87276691,87313387,9
87276691,87313403,7
87276717,87272096,4
87276717,87276725,4
87276717,87313668,7
87276725,87271007,35
87276725,87276469,5
87276725,87276717,4
87276733,87272013,4
87276733,87276303,4
87276733,87276691,8
87276741,87272195,3
87276741,87276691,20
87276741,87276766,4
87276766,87276741,4
87276766,87276774,4
87276766,87276782,7
87276774,87276766,4
87276774,87276782,5
87276782,87276691,14
87276782,87276766,7
87276782,87276774,5
87276782,87296459,6
87276782,87296616,10
87278259,87581009,8
87278259,87581538,3
87278259,87581751,5
87281006,87223263,30
87281006,87281105,5
87281006,87281246,19
87281006,87281279,13
87281006,87281402,2
87281055,87286716,3
87281055,87286732,2
87281071,87223263,29
87281071,87316679,5
87281071,87317263,11
87281071,87317305,5
87281071,87317339,10
87281071,87317586,30
87281105,87281006,7
87281105,87281113,6
87281105,87281139,13
87281105,87281402,5
87281105,87286302,19
87281113,87281105,6
87281113,87281121,5
87281121,87281113,5
87281121,87281139,5
87281139,87281121,5
87281139,87286302,8
87281246,87281279,6
87281246,87317263,19
87281246,87317610,10
87281279,87281006,14
87281279,87281246,6
87281279,87281311,7
87281311,87281279,8
87281311,87281402,6
87281402,87281006,4
87281402,87281105,6
87281402,87281311,6
87281410,87281428,19
87281410,87287292,4
87281410,87317305,7
87281428,87281410,19
87281428,87281436,7
87281428,87287292,4
87281428,87287300,5
87281428,87317263,14
87281428,87317305,11
87281436,87281428,8
87281436,87281444,6
87281436,87287300,4
87281444,87281436,6
87281444,87281451,6
87281444,87286302,13
87281451,87281444,6
87281451,87281469,3
87281469,87281451,3
87281469,87286302,8
87282624,87722025,5
87282624,87722587,16
87282624,87723320,7
87282624,87728501,5
87286005,87109306,8
87286005,87286062,5
87286005,87286146,13
87286005,87286187,5
87286005,87286245,34
87286005,87286278,9
87286005,87286401,17
87286005,87286419,19
87286005,87286518,9
87286005,87286534,6
87286005,87286583,15
87286005,87286625,10
87286005,87286716,7
87286005,87286732,9
87286005,87286831,5
87286005,87286849,6
87286005,87287102,4
87286005,87287128,4
87286005,87287169,24
87286005,87287250,6
87286005,87345009,19
87286062,87286005,7
87286062,87286831,2
87286062,87286856,3
87286062,87287102,2
87286096,87286112,3
87286096,87286401,3
87286112,87109306,2
87286112,87286096,3
87286146,87286005,15
87286146,87286179,8
87286146,87286278,6
87286146,87287151,4
87286161,87286179,4
87286161,87287151,4
87286179,87286146,8
87286179,87286161,4
87286179,87286203,6
87286179,87286302,9
87286187,87286005,7
87286187,87286195,3
87286195,87286187,3
87286195,87286278,5
87286203,87286179,5
87286203,87286302,5
87286229,87287169,6
87286245,87286005,34
87286245,87287193,12
87286260,87287193,8
87286278,87286005,11
87286278,87286146,6
87286278,87286195,5
